"代币","地址","数据点","CV%","方向通过","评分","涨幅%","斜率%/步","上涨占比","严格标准","推荐标准","宽松标准","极宽松"
"民不聊生，冷清至极","0x3608daef6fe736e29568e880c99e820e56a14444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"拜年歌","0x291eee473bf12526e49d4b53392a4e4901fb4444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"马上有币","0xf18f3a9be65bd61097baa0914a67ec48af4a4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"春晚歌曲","0xea2f6384ff98cbc11c432e58cdcb8bd5039f4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"祭四","0x178e7955d9166c07e39235b808a84653d3f64444","10","0.199","3/3","40.8","0.41","0.0592","11.1%","N","N","N","N"
"C旧Y新","0x454b2b370ebce20dd95db831ae17213f1fad4444","10","29.619","0/3","20.0","-46.91","-8.5876","33.3%","N","N","N","N"
"红包女侠","0xe8fb5342ddbb25c125604067527b28bb151a4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"C旧Y新","0x081b9fc96c92a27d8e2eb9b695bd6154d9ab4444","10","1.788","1/3","51.9","1.08","-0.2704","11.1%","N","N","N","N"
"伊和年","0xb43dd7157965b8f87a211b455f36409124614444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"马年说马","0x7f2f4f81e395516bee57aacb0e5480cf5af84444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"最差春晚","0x0f04e6a6571b0dba04d2072ee55f4e97eebe4444","10","1.463","0/3","16.8","-2.23","-0.3292","11.1%","N","N","N","N"
"最差春晚","0x7f99a2895b9a4801532b02faa481499d2edf4444","10","1.208","0/3","17.0","-3.00","-0.2930","0.0%","N","N","N","N"
"易和之年","0xd4c23883a1c65b44bdedb1eb41ba631877534444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"八马共鸣","0x43c41dd5b9b9674af01ff75ca624505652574444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"跃马扬鞭","0xfec960163eff48612029b75e6440253147074444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"麻将鸡蛋","0xcc5c8b217f7f13b3bf7142af3bc0f00e7c5b4444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"ONEDAY","0x6427030544460aa4fc358c222d93c387e9de4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"有一天","0x9a26f5a326cf82c276aec27acceddefad6b14444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"ONEDAY","0x274f6794cd9ebdf7e1fd9e51accea84246684444","10","17.584","0/3","18.7","-42.34","-5.7848","11.1%","N","N","N","N"
"有一天是梦想，第一天是决定","0x9691b24184bf04407c196512ff5b47e6c7ee4444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"“有一天”是梦想，“第一天”是决定。","0x79bfff63ff5b38ca128979eae154a8d114094444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"3","0x0c8a130bd54988fe112176ed5c4a68ced10f4444","10","6.954","0/3","19.8","-18.42","-1.6388","0.0%","N","N","N","N"
"武BOT","0xc90c5f47e180c7d8cf69cd318d8ada13a56b4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"卡尔达舍夫时代","0x68558b48ce15812ac3012924bba1b25334cd4444","10","1.509","0/3","16.8","-2.97","-0.4572","0.0%","N","N","N","N"
"武BOT","0xf52134462d75c4bbe25b04ab8f6dae2e41e54444","10","0.303","3/3","48.8","0.54","0.0852","11.1%","N","N","Y","Y"
"马年大吉","0xc96e0f9617760e3eb4772bdd2cf3a72262e74444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"KARDASHEV","0xc040d1ad15ae86368a13b50b4ccd5254bc5b4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"CY广进","0xd0e116ae7fab39e0c26b7068806825d03d544444","10","5.199","0/3","21.5","-16.27","-1.3902","11.1%","N","N","N","N"
"茶马古道","0x02d60ecae416f3516d39afbbe3e6d581e9224444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"新川普","0x95895d83172f14cfe486b6d79ec75d6cdf734444","10","11.533","0/3","18.7","-28.55","-2.0909","11.1%","N","N","N","N"
"CY广进","0x2d153256095198df9a79c34543df0399d8044444","10","6.468","0/3","21.5","-15.75","-2.0573","22.2%","N","N","N","N"
"恭喜发财","0xd501b4b4970742cf3c41de33a3afdb480f8c4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"财源滚滚","0x40c1e8e3c6e1c9b8ad6efd05426409a6f3e04444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"4旧1新","0xdac091351a98401b3a3418c0d5decd98e8634444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"㆗͏国游","0x367edb5be03fa2902035639fee37ea154aea4444","10","23.690","0/3","18.0","-48.39","-5.3505","0.0%","N","N","N","N"
"小马嘚嘚","0x0a28293d61ff09fa96d8018173c2bc5d223d4444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"春节","0xa0d563bad9aa1b9e8322ee018b1b40e9bbba4444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"GERTIE","0x859d01fd2b6209eb66656e83b552c5de0d2c4444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"！","0x0e9d92e7d58d146ef0ec9ef54c56246b17e64444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"小马卡","0x69500293e8409a467ccf3fee1b8a649d27bd4444","10","3.918","0/3","19.9","-8.07","-1.0881","0.0%","N","N","N","N"
"马眼","0x3025fd4a569cb0f4551a298aff544f364e1a4444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"普天同庆","0x656a5283abea0ec643c965768d86c0222cfd4444","10","5.837","2/3","33.3","0.26","-0.0585","33.3%","N","Y","Y","Y"
"全球视野","0xfd07ca73e0612a063b1cddf05e43880f718f4444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"快乐小马","0xfeeb3fd51d94c9e439046423888f1f1504c54444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"快乐小马","0xa0ac91ac23b27b0b164fa795afc8c16b01884444","10","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"春晚倒计时","0x0aabbad172df70a8fff2bc691ae942d5610a4444","10","1.405","1/3","55.0","1.12","-0.1766","22.2%","N","N","N","N"
"大仲马","0x2915b4d19d2baee98eabfa98cdf972194121ffff","10","0.020","0/3","6.6","-0.04","-0.0061","0.0%","N","N","N","N"
"有来了","0xb85752f839e2b8f161bb8fe7b7a85300ddb04444","10","0.000","1/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"门神","0xc9499ee2ac3649cfafa45beb322d9b18595e4444","10","5.113","0/3","20.9","-13.41","-1.3956","0.0%","N","N","N","N"
"千年宿敌","0x9b34c417e34caeb4b12606514bd0f1e029074444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"千年宿敌","0xd301c2f08d41b0f72d59d22f22118ca2a2ff4444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"常臻好运","0x408d01694616180aa4c1b24e03482c0379bc4444","10","0.012","0/3","6.3","-0.03","-0.0037","0.0%","N","N","N","N"
"洗头日","0xee7903bc078440d1705444b896c9aecfa38e4444","10","2.835","0/3","22.5","-8.79","-0.5246","22.2%","N","N","N","N"
"洗头日","0x6168042b45df84860bac02817648316f2ac84444","10","0.000","0/3","2.0","0.00","-0.0000","0.0%","N","N","N","N"
"XYLO","0x7ebe4844a3bb442d04df43ef4d78374de0064444","10","0.895","0/3","15.4","-0.35","-0.1891","11.1%","N","N","N","N"
"Japan","0x166b4376f9f1eebec4edf840cbd3f61797704444","8","12.104","0/3","18.9","-17.96","-4.5471","14.3%","N","N","N","N"
"8BALL","0x97a67aafd98dc317935d9a7ef38d4479f8b64444","8","0.000","0/3","2.0","0.00","0.0000","0.0%","N","N","N","N"
"浇头","0xeafd575f8155d75a48169cdc73204261b97b4444","8","0.163","3/3","39.8","0.38","0.0538","14.3%","N","N","N","N"
"海骝马","0x55b53adcc358766cdeeb9517d18e3e32b8594444","8","0.725","3/3","56.5","1.70","0.2391","14.3%","N","Y","Y","Y"
